binding_state_reason_code,exercise_id,fitt_binding_state_code,goal_binding_state_code,production_eligible,record_type,safety_binding_state_code,stable_code
INDEPENDENT_SOURCE_DATA_MATERIALIZED,VEX-000007,AVAILABLE,AVAILABLE,False,VARIANT,AVAILABLE,band_front_raise_isolation_resistance_band
INDEPENDENT_SOURCE_DATA_MATERIALIZED,VEX-000026,AVAILABLE,AVAILABLE,False,VARIANT,AVAILABLE,dumbbell_single_leg_calf_raise_isolation_dumbbell
INDEPENDENT_SOURCE_DATA_MATERIALIZED,VEX-000027,AVAILABLE,AVAILABLE,False,VARIANT,AVAILABLE,band_single_leg_calf_raise_isolation_resistance_band
INDEPENDENT_SOURCE_DATA_MATERIALIZED,VEX-000028,AVAILABLE,AVAILABLE,False,VARIANT,AVAILABLE,one_leg_floor_calf_raise_isolation_bodyweight
INDEPENDENT_SOURCE_DATA_MATERIALIZED,VEX-000037,AVAILABLE,AVAILABLE,False,VARIANT,AVAILABLE,cable_shrug_isolation_cable_machine
INDEPENDENT_SOURCE_DATA_MATERIALIZED,VEX-000038,AVAILABLE,AVAILABLE,False,VARIANT,AVAILABLE,dumbbell_decline_shrug_v_2_isolation_dumbbell
INDEPENDENT_SOURCE_DATA_MATERIALIZED,VEX-000039,AVAILABLE,AVAILABLE,False,VARIANT,AVAILABLE,dumbbell_decline_shrug_isolation_dumbbell
INDEPENDENT_SOURCE_DATA_MATERIALIZED,VEX-000040,AVAILABLE,AVAILABLE,False,VARIANT,AVAILABLE,dumbbell_incline_shrug_isolation_dumbbell
INDEPENDENT_SOURCE_DATA_MATERIALIZED,VEX-000041,AVAILABLE,AVAILABLE,False,VARIANT,AVAILABLE,band_shrug_isolation_resistance_band
INDEPENDENT_SOURCE_DATA_MATERIALIZED,VEX-000045,AVAILABLE,AVAILABLE,False,VARIANT,AVAILABLE,side_push_neck_stretch_mobility_stretch_bodyweight
INDEPENDENT_SOURCE_DATA_MATERIALIZED,VEX-000054,AVAILABLE,AVAILABLE,False,VARIANT,AVAILABLE,lever_seated_calf_raise_isolation_machine
INDEPENDENT_SOURCE_DATA_MATERIALIZED,VEX-000055,AVAILABLE,AVAILABLE,False,VARIANT,AVAILABLE,dumbbell_seated_calf_raise_isolation_dumbbell
